Article,FA,LA,Title,SelfCite,CitationKey,UsedXref
86,Catherine,Maria,The neural monitoring of visceral inputs rather than attention accounts for first-person perspective in conscious vision,N,tallon-baudry_neural_2018,N
87,Darren,Steven,How inappropriate high-pass filters can produce artifactual effects and incorrect conclusions in ERP studies of language and cognition,N,tanner_how_2015,N
88,Allison,Peter,Publication bias in meta-analysis: Its causes and consequences,N,thornton_publication_2000,N
89,Darinka,Gustav,EEGManyPipelines: A Large-scale Grassroots Multi-analyst Study of Electroencephalography Analysis Practices in the Wild,N,trubutschek_eegmanypipelines_2024,N
90,Satoshi,Yuri,Prospective memory mediated by interoceptive accuracy: A psychophysiological approach,N,umeda_prospective_2016,N
91,EricJan,Richard,Bayesian inference for psychology. Part I: Theoretical advantages and practical ramifications,N,wagenmakers_bayesian_2018,N
92,Fumihiko,JunIchiro,Respiratory Sinus Arrhythmia,N,yasuma_respiratory_2004,N
93,John,Michael,Guyton and Hall Textbook of Medical Physiology,N,hall_guyton_2021,N
94,Richard,Richard,When to use the Bonferroni correction,N,armstrong_when_2014,N
95,Yoav,Yosef,Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing,N,benjamini_controlling_1995,N
96,Angelia,Alejandro,Phase confusion: How inconsistent cardiac labeling obscures interoception research,N,caparco_phase_2025,N
97,Jacinthe,Marzia,Impact of the pulse artifact on evoked activity in human wakefulness and sleep,N,cataldi_impact_2025,N
98,None,None,Citation diversity statement,N,noauthor_citation_2023,N
99,Jaromil,Olivier,The cluster depth tests: Toward point-wise strong control of the family-wise error rate in massively univariate tests with application to M/EEG,N,frossard_cluster_2022,N
100,Alejandro,James,Active tactile discrimination is coupled with and modulated by the cardiac cycle,N,galvez-pol_active_2022,N
101,Raphael,Frederic,Characterizing the Heartbeat-Evoked Potential: A Two-Component Model of Cardiac Signal Processing?,N,gautier_characterizing_2025,N
102,Nikolaus,Chris,Circular analysis in systems neuroscience: The dangers of double dipping,N,kriegeskorte_circular_2009,N
103,Teemu,Hannu,Case study of ECG signal used as a reference signal in optical pulse transit time measurement of blood flow: The effect of different electrode placements on pulse transit time (V,N,myllyla_case_2013,N
104,Ladislas,Paul,Precise temporal localisation of M/EEG effects with Bayesian generalised additive multilevel models,N,nalborczyk_precise_2025,N
105,Rami,Stephen,Removal of FMRI environment artifacts from EEG data using optimal basis sets,N,niazy_removal_2005,N
106,Jiapu,Willis,A Real-Time QRS Detection Algorithm,N,pan_real-time_1985,N
107,Pandelis,Pandelis,HEPLAB: A Matlab graphical interface for the preprocessing of the heartbeat-evoked potential (Version v1.0.0,N,perakakis_heplab_2019,N
108,Core,Core,R: A Language and Environment for Statistical Computing,N,r_core_team_r_2025,N
109,Guillaume,Guillaume,Using cluster-based permutation tests to estimate MEG/EEG onsets: How bad is it?,N,rousselet_using_2025,N
110,Mika,Pasi,Kubios HRV - Heart rate variability analysis software,N,tarvainen_kubios_2014,N
111,Nathanael,Nathanael,Peakfinder(x0 sel thresh extrema includeEndpoints interpolate,N,yoder_peakfinderx0_2026,N
112,Arno,Michael,Brain–body states as a link between cardiovascular and mental health,N,villringer_brainbody_2025,N
